year,month,median_difference,lower_95a,upper_95a,lower_95b,upper_95b,lower_95c,upper_95c,lower_95d,upper_95d,lower_95e,upper_95e
1865,3,-0.643,-0.727,-0.575,-0.843,-0.442,-1.05,-0.235,-0.861,-0.432,-1.106,-0.185
1865,4,-0.229,-0.306,-0.165,-0.425,-0.033,-0.475,0.016,-0.441,-0.022,-0.554,0.092
1865,5,-0.264,-0.35,-0.201,-0.45,-0.079,-0.517,-0.012,-0.463,-0.066,-0.586,0.058
1865,6,-0.279,-0.36,-0.21,-0.458,-0.1,-0.52,-0.038,-0.474,-0.089,-0.59,0.027
1865,7,-0.13,-0.217,-0.06,-0.326,0.066,-0.373,0.113,-0.343,0.077,-0.453,0.188
1865,8,-0.208,-0.29,-0.146,-0.393,-0.023,-0.502,0.086,-0.407,-0.013,-0.564,0.144
1865,9,-0.079,-0.165,-0.01,-0.272,0.114,-0.417,0.259,-0.287,0.124,-0.477,0.314
1865,10,-0.265,-0.371,-0.203,-0.451,-0.079,-0.645,0.115,-0.478,-0.071,-0.704,0.157
1865,11,-0.194,-0.285,-0.142,-0.381,-0.007,-0.556,0.167,-0.403,-0.001,-0.615,0.212
1865,12,-0.342,-0.426,-0.267,-0.528,-0.155,-0.736,0.053,-0.548,-0.145,-0.789,0.097
1866,1,0.037,-0.052,0.108,-0.143,0.216,-0.469,0.543,-0.161,0.229,-0.508,0.577
1866,2,-0.215,-0.303,-0.153,-0.4,-0.029,-0.732,0.303,-0.425,-0.023,-0.778,0.332
1866,3,-0.593,-0.682,-0.527,-0.79,-0.397,-0.957,-0.23,-0.81,-0.386,-1.018,-0.177
1866,4,-0.264,-0.357,-0.197,-0.444,-0.085,-0.534,0.005,-0.464,-0.069,-0.6,0.068
1866,5,-0.532,-0.639,-0.469,-0.711,-0.353,-0.805,-0.258,-0.734,-0.341,-0.873,-0.2
1866,6,0.103,0.01,0.163,-0.076,0.282,-0.139,0.344,-0.098,0.292,-0.212,0.408
1866,7,0.028,-0.058,0.097,-0.148,0.204,-0.217,0.273,-0.167,0.218,-0.285,0.338
1866,8,-0.269,-0.352,-0.209,-0.444,-0.093,-0.566,0.029,-0.464,-0.083,-0.627,0.081
1866,9,-0.235,-0.318,-0.164,-0.407,-0.063,-0.556,0.086,-0.423,-0.047,-0.606,0.138
1866,10,-0.425,-0.521,-0.357,-0.603,-0.247,-0.769,-0.081,-0.626,-0.235,-0.825,-0.033
1866,11,-0.312,-0.393,-0.243,-0.495,-0.129,-0.694,0.07,-0.515,-0.117,-0.746,0.115
1866,12,-0.34,-0.441,-0.27,-0.527,-0.154,-0.787,0.106,-0.553,-0.144,-0.839,0.144
1867,1,-0.32,-0.413,-0.245,-0.519,-0.12,-0.838,0.199,-0.535,-0.106,-0.881,0.241
